,dest,intermediate_location,payload,src,transhipment_path,veh_type,verb
601,NAGH,,,AMCH,"['AMCH', 'DELH', 'NAGH']",,MAK
602,BGMH,,,AMCH,"['AMCH', 'PNQH', 'BGMH']",,MAK
603,SNRH,,,AMCH,"['AMCH', 'SNRH']",,MAK
604,AGRB,,,AMCH,"['AMCH', 'AGRB']",,MAK
605,PATH,,,AMCH,"['AMCH', 'KNPH', 'PATH']",,MAK
606,BLRH,,,AMCH,"['AMCH', 'BLRH']",,MAK
607,BOMH,,,AMCH,"['AMCH', 'BOMH']",,MAK
608,IXCB,,,AMCH,"['AMCH', 'IXCB']",,MAK
609,KNPH,,,AMCH,"['AMCH', 'KNPH']",,MAK
611,IDRH,,,AMCH,"['AMCH', 'IDRH']",,MAK
613,AMCH,,,AMCH,['AMCH'],,MAK
615,DELH,,,AMCH,"['AMCH', 'DELH']",,MAK
616,LUHB,,,AMCH,"['AMCH', 'LUHB']",,MAK
617,HDRB,,,AMCH,"['AMCH', 'HDRB']",,MAK
618,PNQH,,,AMCH,"['AMCH', 'PNQH']",,MAK
619,VPIH,,,AMCH,"['AMCH', 'NDAH', 'AMDH', 'VPIH']",,MAK
621,PNPF,,,AMCH,"['AMCH', 'PNPF']",,MAK
622,SILB,,,AMCH,"['AMCH', 'CCUH', 'SILB']",,MAK
624,RDPF,,,SXVF,"['SXVF', 'MAAH', 'MAAH', 'KNPH', 'RDPF']",,MAK
626,UDRF,,,SXVF,"['SXVF', 'BLRH', 'AMDH', 'UDRF']",,MAK
627,IXCB,,,SXVF,"['SXVF', 'BLRH', 'AMCH', 'AMCH', 'IXCB']",,MAK
631,AMCH,,,SXVF,"['SXVF', 'BLRH', 'AMCH']",,MAK
633,AMCH,,,SXVF,"['SXVF', 'BLRH', 'AMCH', 'AMCH']",,MAK
634,NAGH,,,SXVF,"['SXVF', 'BLRH', 'HYDH', 'NAGH']",,MAK
635,LUHB,,,SXVF,"['SXVF', 'BLRH', 'AMCH', 'AMCH', 'LUHB']",,MAK
636,HDRB,,,SXVF,"['SXVF', 'BLRH', 'AMCH', 'AMCH', 'HDRB']",,MAK
637,SNRH,,,SXVF,"['SXVF', 'PNQH', 'SNRH']",,MAK
639,AGRB,,,SXVF,"['SXVF', 'MAAH', 'MAAH', 'KNPH', 'AGRB']",,MAK
640,PATH,,,SXVF,"['SXVF', 'BLRH', 'IXRB', 'PATH']",,MAK
641,KNPH,,,SXVF,"['SXVF', 'MAAH', 'MAAH', 'KNPH']",,MAK
642,AMDH,,,SXVF,"['SXVF', 'BLRH', 'AMDH']",,MAK
643,VZAH,,,SXVF,"['SXVF', 'BLRH', 'VZAH']",,MAK
644,BOMH,,,SXVF,"['SXVF', 'BOMH']",,MAK
645,CCUH,,,SXVF,"['SXVF', 'BLRH', 'VZAH', 'CCUH']",,MAK
646,HYDH,,,SXVF,"['SXVF', 'BLRH', 'HYDH']",,MAK
647,IDRH,,,SXVF,"['SXVF', 'BLRH', 'IDRH']",,MAK
648,JAIH,,,SXVF,"['SXVF', 'JAIH']",,MAK
649,IXRB,,,SXVF,"['SXVF', 'BLRH', 'IXRB']",,MAK
650,DELH,,,SXVF,"['SXVF', 'DELH']",,MAK
651,NDAH,,,SXVF,"['SXVF', 'BLRH', 'NDAH']",,MAK
652,BGMH,,,SXVF,"['SXVF', 'BLRH', 'BGMH']",,MAK
653,BBIH,,,SXVF,"['SXVF', 'BLRH', 'BBIH']",,MAK
654,PNPF,,,SXVF,"['SXVF', 'BLRH', 'AMCH', 'AMCH', 'PNPF']",,MAK
655,PNQH,,,SXVF,"['SXVF', 'PNQH']",,MAK
656,VPIH,,,SXVF,"['SXVF', 'BLRH', 'VPIH']",,MAK
657,BLRH,,,SXVF,"['SXVF', 'BLRH']",,MAK
658,CJBH,,,SXVF,"['SXVF', 'CJBH']",,MAK
659,COKB,,,SXVF,"['SXVF', 'COKB']",,MAK
660,MAAH,,,SXVF,"['SXVF', 'MAAH']",,MAK
661,SILB,,,SXVF,"['SXVF', 'BLRH', 'IXRB', 'PATH', 'SILB']",,MAK
684,SNRH,,,DELH,"['DELH', 'SNRH']",,MAK
687,NDAH,,,BGMH,"['BGMH', 'PNQH', 'NDAH']",,MAK
694,BOMH,,,NDAH,"['NDAH', 'BOMH']",,MAK
695,NDAH,,,PNQH,"['PNQH', 'NDAH']",,MAK
702,VZAH,,,JAIH,"['JAIH', 'BOMH', 'VZAH']",,MAK
703,CJBH,,,JAIH,"['JAIH', 'BOMH', 'CJBH']",,MAK
704,COKB,,,JAIH,"['JAIH', 'BOMH', 'COKB']",,MAK
705,RDPF,,,JAIH,"['JAIH', 'DELH', 'NDAH', 'RDPF']",,MAK
707,SXVF,,,JAIH,"['JAIH', 'BOMH', 'SXVF']",,MAK
708,BBIH,,,JAIH,"['JAIH', 'AMDH', 'IXRB', 'BBIH']",,MAK
709,PATH,,,JAIH,"['JAIH', 'DELH', 'PATH']",,MAK
711,BLRH,,,JAIH,"['JAIH', 'BOMH', 'BLRH']",,MAK
712,CCUH,,,JAIH,"['JAIH', 'AMDH', 'CCUH']",,MAK
713,IXCB,,,JAIH,"['JAIH', 'DELH', 'IXCB']",,MAK
714,KNPH,,,JAIH,"['JAIH', 'DELH', 'KNPH']",,MAK
717,HYDH,,,JAIH,"['JAIH', 'BOMH', 'HYDH']",,MAK
718,AMCH,,,JAIH,"['JAIH', 'DELH', 'AMCH']",,MAK
720,AMCH,,,JAIH,"['JAIH', 'DELH', 'AMCH', 'AMCH']",,MAK
721,IXRB,,,JAIH,"['JAIH', 'AMDH', 'IXRB']",,MAK
722,MAAH,,,JAIH,"['JAIH', 'BOMH', 'MAAH']",,MAK
723,NAGH,,,JAIH,"['JAIH', 'DELH', 'NAGH']",,MAK
724,BGMH,,,JAIH,"['JAIH', 'BOMH', 'BGMH']",,MAK
725,LUHB,,,JAIH,"['JAIH', 'DELH', 'LUHB']",,MAK
726,HDRB,,,JAIH,"['JAIH', 'DELH', 'HDRB']",,MAK
727,VPIH,,,JAIH,"['JAIH', 'AMDH', 'VPIH']",,MAK
728,SNRH,,,JAIH,"['JAIH', 'BOMH', 'SNRH']",,MAK
730,AGRB,,,JAIH,"['JAIH', 'DELH', 'AGRB']",,MAK
731,UDRF,,,JAIH,"['JAIH', 'UDRF']",,MAK
732,AMDH,,,JAIH,"['JAIH', 'AMDH']",,MAK
733,BOMH,,,JAIH,"['JAIH', 'BOMH']",,MAK
734,LUHB,,,IDRH,"['IDRH', 'DELH', 'AMCH', 'AMCH', 'LUHB']",,MAK
735,DELH,,,JAIH,"['JAIH', 'DELH']",,MAK
736,NDAH,,,JAIH,"['JAIH', 'DELH', 'NDAH']",,MAK
737,PNPF,,,JAIH,"['JAIH', 'DELH', 'AMCH', 'AMCH', 'PNPF']",,MAK
738,PNQH,,,JAIH,"['JAIH', 'BOMH', 'PNQH']",,MAK
739,SILB,,,JAIH,"['JAIH', 'AMDH', 'CCUH', 'SILB']",,MAK
741,VZAH,,,AMCH,"['AMCH', 'HYDH', 'VZAH']",,MAK
743,BBIH,,,AMCH,"['AMCH', 'DELH', 'IXRB', 'BBIH']",,MAK
747,CJBH,,,AMCH,"['AMCH', 'BLRH', 'CJBH']",,MAK
748,CCUH,,,AMCH,"['AMCH', 'CCUH']",,MAK
749,COKB,,,AMCH,"['AMCH', 'AGRB', 'MAAH', 'MAAH', 'COKB']",,MAK
